# transitions-schema: gororoba-legacy-patch-transitions-v1
patch_index	patch	patch_sha256	input_tree	output_tree	effect_diff_sha256	apply_engine	alternate_engine_result	files_changed	atoms	lines_added	lines_removed
43	0046-rs480-parked-gpu-failure-path-host-survival.patch	64bbe577a4f28332d6b099349d2500f511f47d5a395735cc413ecc753b8288fa	0f7612c957c9188a95d665112411a2cafdcd72bd	11284e8129cd2eca531c8261f907d4e91cec1327	e53204332a6e6dcb66158549272b85ebc5fa57b53c4d7739cf9c2cb837cdd1e8	git-apply	accepts-identical-tree	3	6	67	0
44	0047-rs480-hold-force-clock-on-failed-reset.patch	c086224f34b32f0427628b05e43f728290362db2d7ab281495e97fcee3fa2c81	11284e8129cd2eca531c8261f907d4e91cec1327	57fa42ea4c2eb4ff71760def75d9c5950bcbd891	d9a561886765bf40daac6206f2e9a7da01d8a00ea739add667b86212e9c5e20c	git-apply	accepts-identical-tree	1	2	18	4
45	0048-rs480-failed-reset-touch-nothing-after-classification.patch	f53942ec3e1b58c66f09e56abca8f50f2a872e51ed2f72872f47624378499969	57fa42ea4c2eb4ff71760def75d9c5950bcbd891	f4f1d5f01918cf053df506523564e58acd7a9c7d	e2531cae40486ac446b153b5ddb3c9f5c4bf8728c82461c2b8d13a2b75adc29f	git-apply	accepts-identical-tree	2	2	19	6
46	0049-rs480-parked-gpu-gart-tlb-flush-guard.patch	4bf55b609e938a9c8b2360023f77582ef230602d7d9f43c0966490188444e1c2	f4f1d5f01918cf053df506523564e58acd7a9c7d	f29cae69ff091ee8ce5be8566ef3830775e40626	c9ee38163f93b3559841f1fc3cbdb8bab12fd36991eff0eaf45f3ea003dee163	git-apply	accepts-identical-tree	3	3	19	0
47	0050-rs480-parked-gpu-modeset-and-flip-gate.patch	263a189397e6e7e3153fc88a3e185a8639bb5a26677e90363d20f049d2837f39	f29cae69ff091ee8ce5be8566ef3830775e40626	75cca2e8fa5ddc0d3991a9edab9e4f28fe709ac4	7460e36129c7cf2944e36962669884b2563866a089e7240025983bbb2e934606	git-apply	accepts-identical-tree	2	5	28	2
48	0051-rs480-parked-gpu-fence-lockup-check-gate.patch	92eda8e11923b3a4d2ee4db9d851b1ab895400791b5b9e13a5711de266356df7	75cca2e8fa5ddc0d3991a9edab9e4f28fe709ac4	10c4a8504b1dab73a2b07f299e14cbb3f9de4748	d3453527baed50f988250dc25c76f8fc96f22488d83b26111dd758b67210ecd0	git-apply	accepts-identical-tree	2	2	12	0
49	0052-rs480-parked-gpu-close-path-pins.patch	01285287b26ad8374b956becc1207e2705f35f2ed16d7b9f2d54606d88db04d9	10c4a8504b1dab73a2b07f299e14cbb3f9de4748	846fb801da257cd2f9a7c5811741603ac993dcca	d947c851bb11587f9b45aa566eb74b563dc257e8d24e32696c2849a9f4bd7bae	git-apply	accepts-identical-tree	2	2	4	0
50	0053-rs480-parked-gpu-leak-bos-by-design.patch	2992a24f8e6e06242a604783fb45fc6bc4c3a84c38c63e58209d1a7b441364af	846fb801da257cd2f9a7c5811741603ac993dcca	3c925f580f141d1e3d1c1e2bd3c56ca367993b1b	22eddfb05d73c1a587ef6eee2af575f4603066daa2b56bdad074d15ab315fc4d	git-apply	accepts-identical-tree	1	1	13	2
51	0054-rs480-parked-gpu-counted-leak-breadcrumb.patch	d64e7f8f9a1722a54dfc98d74b7dba38b1f6b3e90c2c6f70d6d7c27e9e875921	3c925f580f141d1e3d1c1e2bd3c56ca367993b1b	0282f0f930f8d2b07509c385ddef1da1bbc850bc	7df33a95ede513ea4652474969585c54310135679a676b6263748308b58fbb60	git-apply	accepts-identical-tree	1	2	17	1
52	0055-rs480-rs400-include-pci-for-save-restore-state.patch	f0fb0e953af5e53a01a5c674fc71d0d488b5b8aa53cb117d732aef7249de4510	0282f0f930f8d2b07509c385ddef1da1bbc850bc	af4db17132fd42f5c45543a92bd908bbc6c26367	473433b008393ed202d907f96349af1a432d7c594e159bff535d2daa451a21c6	git-apply	accepts-identical-tree	1	1	1	0
